id,question,dog,answer,notes,time,user
14,111,2,0|22|2|0|0|0|12,,1444142340,7
15,112,2,0|0|0|20,,1444142356,7
16,113,2,0,,1444142361,7
17,114,2,38,,1444142489,7
18,114,2,38,,1444142584,7
19,115,2,none,,1444142594,7
20,116,2,2003,,1444142608,7
21,117,2,1,,1444142622,7
22,118,2,kibble,,1444142650,7
23,119,2,none,,1444142666,7
24,120,2,6,,1444142675,7
39,121,2,3,,1444144433,7
42,122,2,0|2,,1444144440,7
44,123,2,3,,1444144448,7
45,124,2,0,,1444144834,7
46,125,2,3,,1444144840,7
47,126,2,0,,1444144845,7
48,127,2,0,,1444144853,7
49,128,2,0,,1444144857,7
50,129,2,0000000002_129,,1444144878,7
51,130,2,0000000002_130,,1444144885,7
3982,1,2,0,,1444267860,7
3983,2,2,0,,1444267863,7
3984,3,2,4,,1444267866,7
154327,4,2,1,,1449674747,7
154329,5,2,2,,1449674752,7
176113,6,2,3,,1450060486,7
180890,111,2130,0|23|||||3,,1450222212,1543
180891,112,2130,0|0|4|4.5,,1450222236,1543
180892,113,2130,1,"living room, by choice",1450222257,1543
180893,114,2130,"42, 43",,1450222266,1543
180894,115,2130,Jenny - dog - mix - 2011,,1450222287,1543
180895,116,2130,2003,,1450222292,1543
180896,117,2130,2,,1450222296,1543
180897,118,2130,"home made (some cooked, some raw): chicken, mackerel, pork, eggs, rice, veggiesWellness Core kibble",,1450222331,1543
180898,119,2130,ApoquelZyrtec,,1450222348,1543
180899,120,2130,0|2,,1450222359,1543
180900,121,2130,3,,1450222392,1543
180901,122,2130,2,,1450222404,1543
180902,123,2130,5,,1450222434,1543
180903,124,2130,0,,1450222439,1543
180904,125,2130,1,,1450222516,1543
180905,126,2130,0,,1450222520,1543
180906,127,2130,2,,1450222572,1543
180907,128,2130,0,,1450222577,1543
180908,1,2130,0,,1450222602,1543
180909,2,2130,1,,1450222609,1543
180910,3,2130,4,,1450222613,1543
180911,4,2130,0,,1450222617,1543
180912,5,2130,3,,1450222622,1543
180913,6,2130,4,,1450222627,1543
180914,7,2130,4,,1450222632,1543
180915,8,2130,0,,1450222637,1543
180916,9,2130,4,,1450222641,1543
180917,10,2130,4,,1450222647,1543
180918,111,2131,|23|||||,,1450222713,1543
180919,112,2131,0|0|5|5,,1450222727,1543
180920,113,2131,0,,1450222733,1543
180921,114,2131,"42, 43",,1450222738,1543
180922,115,2131,Jack - dog - Golden Retriever - 2003,,1450222749,1543
180923,116,2131,2011,,1450222756,1543
180924,117,2131,1,,1450222760,1543
180925,118,2131,"Home made (cooked and raw): pork, mackerel, chicken, eggs, rice, veggiesWellness Core kibble",,1450222782,1543
180926,119,2131,Buspirone,,1450222789,1543
180927,119,2131,BuspironeTrazodone,,1450222799,1543
180928,120,2131,6,Lots of informal training with me,1450222818,1543
180929,121,2131,2,,1450222889,1543
180930,122,2131,2,,1450222895,1543
180931,123,2131,5,,1450222900,1543
180932,124,2131,0,,1450222905,1543
180933,125,2131,2,,1450222911,1543
180934,126,2131,0,,1450222916,1543
180935,127,2131,1,,1450222939,1543
180936,128,2131,0,,1450222943,1543
180937,1,2131,1,,1450222963,1543
180938,2,2131,0,,1450222967,1543
180939,3,2131,3,,1450222972,1543
180940,4,2131,0,,1450222976,1543
180941,5,2131,4,,1450222981,1543
180942,6,2131,3,,1450222991,1543
180943,7,2131,4,,1450222999,1543
180944,8,2131,1,,1450223006,1543
180945,9,2131,4,,1450223014,1543
180946,10,2131,2,,1450223022,1543
180947,11,2130,0,,1450223049,1543
180948,12,2130,4,,1450223053,1543
180949,13,2130,4,,1450223057,1543
180950,14,2130,1,,1450223064,1543
180951,15,2130,3,,1450223068,1543
180952,16,2130,4,,1450223073,1543
180953,17,2130,0,,1450223079,1543
180954,18,2130,0,,1450223086,1543
180955,19,2130,0,,1450223091,1543
180956,20,2130,0,,1450223095,1543
180957,11,2131,4,,1450223107,1543
180958,12,2131,0,,1450223111,1543
180959,13,2131,2,,1450223116,1543
180960,14,2131,4,,1450223120,1543
180961,15,2131,1,,1450223126,1543
180962,16,2131,2,,1450223135,1543
180963,17,2131,1,,1450223140,1543
180964,18,2131,3,,1450223144,1543
180965,19,2131,0,,1450223149,1543
180966,20,2131,0,,1450223157,1543
180967,21,2130,2,,1450223186,1543
180968,22,2130,1,,1450223194,1543
180969,23,2130,3,,1450223201,1543
180970,24,2130,1,,1450223208,1543
180971,25,2130,0,,1450223213,1543
180972,26,2130,4,,1450223219,1543
180973,27,2130,4,,1450223227,1543
180974,28,2130,3,,1450223232,1543
180975,29,2130,0,,1450223236,1543
180976,30,2130,0,,1450223241,1543
180977,21,2131,2,,1450223265,1543
180978,22,2131,1,,1450223269,1543
180979,23,2131,0,,1450223274,1543
180980,24,2131,1,,1450223279,1543
180981,25,2131,1,,1450223285,1543
180982,26,2131,0,,1450223289,1543
180983,27,2131,2,,1450223297,1543
180984,28,2131,1,,1450223302,1543
180985,29,2131,0,,1450223307,1543
180986,30,2131,0,,1450223314,1543
180987,31,2130,3,,1450223346,1543
180988,32,2130,3,,1450223353,1543
180989,33,2130,1,,1450223358,1543
180990,34,2130,3,,1450223368,1543
180991,35,2130,2,,1450223374,1543
180992,36,2130,1,,1450223381,1543
180993,37,2130,0,,1450223385,1543
180994,38,2130,0,,1450223390,1543
180995,39,2130,1,,1450223398,1543
180996,40,2130,2,,1450223403,1543
180997,31,2131,4,,1450223423,1543
180998,32,2131,3,,1450223428,1543
181000,33,2131,3,,1450223434,1543
181001,34,2131,4,,1450223438,1543
181002,35,2131,0,,1450223453,1543
181004,36,2131,0,,1450223457,1543
181005,37,2131,0,"She's shy -- so she avoids being petted by people she doesn't know. She never avoids me petting her, though.",1450223486,1543
181006,38,2131,0,,1450223490,1543
181007,39,2131,0,,1450223495,1543
181008,40,2131,0,,1450223499,1543
181009,41,2130,4,,1450223514,1543
181011,42,2130,0,,1450223519,1543
181012,43,2130,0,,1450223524,1543
181014,44,2130,4,,1450223530,1543
181015,45,2130,0,,1450223534,1543
181017,46,2130,4,,1450223538,1543
181019,47,2130,4,,1450223542,1543
181020,48,2130,4,,1450223547,1543
181021,49,2130,0,,1450223552,1543
181022,50,2130,0,,1450223557,1543
181025,41,2131,4,Familiar people: strongly disagreeUnfamiliar people: strong agree,1450223590,1543
181026,42,2131,4,,1450223595,1543
181027,43,2131,0,,1450223599,1543
181028,44,2131,4,,1450223603,1543
181029,45,2131,2,,1450223610,1543
181030,46,2131,0,,1450223614,1543
181031,47,2131,3,,1450223618,1543
181032,48,2131,2,,1450223624,1543
181033,49,2131,0,,1450223629,1543
181034,50,2131,3,,1450223635,1543
181035,51,2130,4,,1450223664,1543
181036,52,2130,3,,1450223675,1543
181037,53,2130,3,,1450223684,1543
181038,54,2130,0,,1450223688,1543
181039,55,2130,2,,1450223693,1543
181040,56,2130,3,,1450223700,1543
181041,57,2130,1,,1450223705,1543
181042,58,2130,0,,1450223710,1543
181043,59,2130,4,,1450223714,1543
181044,60,2130,4,,1450223720,1543
181045,51,2131,4,,1450223733,1543
181046,52,2131,1,,1450223742,1543
181047,53,2131,0,,1450223748,1543
181048,54,2131,0,,1450223752,1543
181049,55,2131,2,,1450223757,1543
181050,56,2131,0,,1450223761,1543
181051,57,2131,0,,1450223765,1543
181052,58,2131,0,,1450223769,1543
181053,59,2131,4,,1450223772,1543
181054,60,2131,3,,1450223776,1543
181055,61,2130,2,,1450223795,1543
181056,62,2130,1,,1450223801,1543
181057,63,2130,0,,1450223806,1543
181058,64,2130,2,,1450223812,1543
181059,65,2130,0,,1450223818,1543
181060,66,2130,2,,1450223822,1543
181061,67,2130,0,,1450223827,1543
181062,68,2130,4,,1450223831,1543
181063,69,2130,0,,1450223836,1543
181064,70,2130,3,,1450223841,1543
181073,61,2131,1,,1450224282,1543
181074,62,2131,4,,1450224286,1543
181075,63,2131,0,,1450224291,1543
181076,64,2131,2,,1450224296,1543
181077,65,2131,2,,1450224301,1543
181078,66,2131,0,,1450224306,1543
181079,67,2131,0,,1450224310,1543
181080,68,2131,1,,1450224316,1543
181081,69,2131,0,"These days, never. In the past, often.",1450224335,1543
181082,70,2131,1,,1450224341,1543
414938,7,2,2,,1460224311,7
414940,8,2,2,,1460224313,7
414943,9,2,2,,1460224318,7
414945,10,2,2,,1460224320,7
414949,21,2,3,,1460224329,7
414952,22,2,0,,1460224335,7
414955,23,2,0,,1460224337,7
414957,24,2,1,,1460224340,7
414958,25,2,1,,1460224341,7
414961,26,2,1,,1460224345,7
414964,27,2,1,,1460224348,7
414966,28,2,1,,1460224350,7
414968,29,2,1,,1460224352,7
479370,71,2130,3,,1460421586,1543
479375,72,2130,3,,1460421592,1543
479380,73,2130,3,,1460421596,1543
479387,74,2130,3,,1460421604,1543
479391,75,2130,0,,1460421609,1543
479404,76,2130,0,,1460421617,1543
479411,77,2130,4,,1460421621,1543
479422,78,2130,4,,1460421629,1543
479427,79,2130,3,,1460421636,1543
479435,80,2130,4,,1460421642,1543
479567,71,2131,1,,1460421783,1543
479573,72,2131,3,,1460421788,1543
479577,73,2131,2,,1460421793,1543
479584,74,2131,3,,1460421797,1543
479592,75,2131,1,,1460421817,1543
479599,76,2131,1,,1460421826,1543
479605,77,2131,2,,1460421829,1543
479606,78,2131,4,,1460421832,1543
479614,79,2131,2,,1460421837,1543
479619,80,2131,2,,1460421845,1543
479695,81,2130,1,,1460421900,1543
479703,82,2130,4,,1460421905,1543
479716,83,2130,4,,1460421911,1543
479726,84,2130,3,,1460421920,1543
479733,85,2130,4,,1460421924,1543
479738,86,2130,4,,1460421929,1543
479745,87,2130,4,,1460421933,1543
479755,88,2130,3,,1460421939,1543
479763,89,2130,3,,1460421944,1543
479770,90,2130,1,,1460421949,1543
479784,81,2131,4,,1460421965,1543
479789,82,2131,0,,1460421969,1543
479796,83,2131,0,,1460421974,1543
479804,84,2131,0,,1460421980,1543
479813,85,2131,4,,1460421985,1543
479821,86,2131,0,,1460421990,1543
479830,87,2131,4,,1460421995,1543
479833,88,2131,0,,1460421999,1543
479844,89,2131,1,,1460422005,1543
479851,90,2131,3,,1460422009,1543
479869,91,2130,4,,1460422025,1543
479882,92,2130,1,,1460422032,1543
479897,93,2130,0,,1460422043,1543
479906,94,2130,3,,1460422048,1543
479914,95,2130,3,,1460422054,1543
479919,96,2130,0,,1460422059,1543
479930,97,2130,1,,1460422064,1543
479938,98,2130,1,,1460422070,1543
479947,99,2130,0,,1460422077,1543
479952,100,2130,3,,1460422082,1543
479965,91,2131,4,,1460422094,1543
479971,92,2131,0,,1460422099,1543
479977,93,2131,4,,1460422104,1543
479979,94,2131,4,,1460422110,1543
479985,95,2131,0,,1460422115,1543
479990,96,2131,1,,1460422120,1543
479996,97,2131,1,,1460422126,1543
480003,98,2131,2,,1460422131,1543
480010,99,2131,0,,1460422135,1543
480014,100,2131,0,,1460422140,1543
480032,101,2130,1,,1460422155,1543
480035,102,2130,1,,1460422162,1543
480038,103,2130,2,,1460422167,1543
