"id","breed","breed_print","breed_image","reference"
"1","afghan_hound","Afghan Hound","AfganHound","1"
"2","airedale_terrier","Airedale Terrier","Airedale_Terrier","1"
"3","akita","Akita","Akita2","1"
"4","alaskan_malamute","Alaskan Malamute","AlaskanMalamute2","1"
"5","australian_cattle_dog","Australian Cattle Dog","AustralianCattleDog","1"
"6","australian_shepherd","Australian Shepherd","AustralianShepherdDog","1"
"7","basenji","Basenji","Basenji2","1"
"8","basset_hound","Basset Hound","BassetHound2","1"
"9","beagle","Beagle","Beagle2","1"
"10","belgian_tervuren","Belgian Tervuren","BelgianTervuren","1"
"11","bernese_mountain_dog","Bernese Mountain Dog","BerneseMountainDog","1"
"12","bichon_frise","Bichon Frise","BichonFrise2","1"
"13","bloodhound","Bloodhound","Bloodhound","1"
"14","border_collie","Border Collie","BorderCollie","1"
"15","border_terrier","Border Terrier","Border_Terrier","1"
"16","borzoi","Borzoi","Borzoi2","1"
"17","boston_terrier","Boston Terrier","BostonTerrier2","1"
"18","boxer","Boxer","Boxer","1"
"19","brittany","Brittany","Brittany","1"
"20","bull_terrier","Bull Terrier","Bull_Terrrier2","1"
"21","english_bulldog","English Bulldog","Bulldog2","1"
"22","bullmastiff","Bullmastiff","BullMastif","1"
"23","cairn_terrier","Cairn Terrier","Cairn_Terrier","1"
"24","cavalier_king_charles_spaniel","Cavalier King Charles Spaniel","CavalierKing2","1"
"25","chesapeake_bay_retriever","Chesapeake Bay Retriever","ChesapeakeBayRetriever","1"
"26","chihuahua","Chihuahua","Chihuahua","1"
"27","chinese_crested","Chinese Crested","ChineseCrested2","1"
"28","chow_chow","Chow Chow","ChowChow","1"
"29","american_cocker_spaniel","American Cocker Spaniel","CockerSpaniel","1"
"30","collie","Collie","RoughCollie2","1"
"31","dachshund","Dachshund","shund","1"
"32","dalmatian","Dalmatian","Dalmation2","1"
"33","doberman_pinscher","Doberman Pinscher","doberman","1"
"34","english_cocker_spaniel","English Cocker Spaniel","EnglishCocker","1"
"35","english_setter","English Setter","EnglishSetter","1"
"36","english_springer_spaniel","English Springer Spaniel","EnglishSpringerSpaniel","1"
"37","finnish_spitz","Finnish Spitz","FinnishSpitz","1"
"38","french_bulldog","French Bulldog","FrenchBulldog","1"
"39","german_shepherd_dog","German Shepherd Dog","GermanShepardDog","1"
"40","german_shorthaired_pointer","German Shorthaired Pointer","GermanShorthairedPointer","1"
"41","golden_retriever","Golden Retriever","goldenretriever","1"
"42","gordon_setter","Gordon Setter","Gordon Setter_02","1"
"43","great_dane","Great Dane","GreatDane","1"
"44","great_pyrenees","Great Pyrenees","GreatPyrenees2","1"
"45","greater_swiss_mountain_dog","Greater Swiss Mountain Dog","GreaterSwissMountain","1"
"46","greyhound","Greyhound","Greyhound2","1"
"47","havanese","Havanese","Havanese","1"
"48","irish_setter","Irish Setter","IrishSetter","1"
"49","irish_wolfhound","Irish Wolfhound","IrishWolfhound","1"
"50","italian_greyhound","Italian Greyhound","ItalianGreyhound2","1"
"51","jack_russell_terrier","Jack Russell Terrier","parsonrussell_breed_illo","1"
"52","labrador_retriever","Labrador Retriever","lab_new_small_w_shadow","1"
"53","leonberger","Leonberger","Leonberger","1"
"54","lhasa_apso","Lhasa Apso","LhasaApso","1"
"55","maltese","Maltese","Maltese2","1"
"56","mastiff","Mastiff","Mastiff","1"
"57","miniature_pinscher","Miniature Pinscher","MiniPinscher","1"
"58","miniature_schnauzer","Miniature Schnauzer","MiniatureSchnauzer2","1"
"59","newfoundland","Newfoundland","newfoundland","1"
"60","norfolk_terrier","Norfolk Terrier","NorfolkTerrier","1"
"61","norwegian_elkhound","Norwegian Elkhound","NorwegienElkhound2","1"
"62","nova_scotia_duck_tolling_retriever","Nova Scotia Duck Tolling Retriever","novascotia_dt_retriever","1"
"63","old_english_sheepdog","Old English Sheepdog","OldEnglishSheepdog","1"
"64","papillon","Papillon","Pappillon2","1"
"65","pekingese","Pekingese","Pekingese","1"
"66","pembroke_welsh_corgi","Pembroke Welsh Corgi","PembrokeWelshCorgie","1"
"67","pomeranian","Pomeranian","Pomeranian","1"
"68","poodle","Poodle","StandardPoodle2","1"
"69","portuguese_water_dog","Portuguese Water Dog","PortugueseWaterDog","1"
"70","pug","Pug","Pug","1"
"71","rhodesian_ridgeback","Rhodesian Ridgeback","RhodesianRidgeback","1"
"72","rottweiler","Rottweiler","Rottweiler","1"
"73","saint_bernard","Saint Bernard","StBernard2","1"
"74","samoyed","Samoyed","Samoyed2","1"
"75","schipperke","Schipperke","Schipperke","1"
"76","scottish_terrier","Scottish Terrier","ScottishTerrier","1"
"77","shar_pei","Shar Pei","ChineseSharPei","1"
"78","shetland_sheepdog","Shetland Sheepdog","ShetlandSheepdog2","1"
"79","shiba_inu","Shiba Inu","ShibaInu","1"
"80","shih_tzu","Shih Tzu","ShinTzu2","1"
"81","siberian_husky","Siberian Husky","Siberian","1"
"82","soft_coated_wheaten_terrier","Soft Coated Wheaten Terrier","SoftCoatedWheaten","1"
"83","staffordshire_bull_terrier","Staffordshire Bull Terrier","StaffordshireBullTerrier","1"
