id,name,sex,neutered,age,birthday,breed1,breed2,breed3,purebred,image,owner,consent_date,surveys,groups,flags,deceased,summary,quirk,does_best,fun_story,dom_entry,kit_date,sample_location,dom_awarded,eligible,is_working,description,barcode,group_id,is_public,likes,creation_date,deceased_old,is_kit_disabled,dob_known,fake,is_public_genomic_mix,breed1_id,breed2_id,breed3_id,ancestry_info,is_breed_mix_right,breed_info_source,breed_info_source_others,is_breeds_known,feedback_submit_date,age_norm,is_public_personality_profile,image_private,sympathy_card_status,healthPortalRibbonConsent,birthday_historical
1,Auggie,male,no,2013-01-02,2008-04-01,American Eskimo Dog,NA,NA,NA,1,6,1533136509,331000000003303003300000000000000000000000,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,6,1,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.062,0,NA,0,0,2008-04-01
2,Leif,male,yes,2004-11-01,NA,NA,NA,NA,NA,2,7,1444142290,3010000000033010010000000000000000000000000000000000,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7,1,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.94,0,NA,0,0,NA
2130,Jack,male,yes,15,2000-12-18,Golden Retriever,NA,NA,NA,0,1543,1531839090,3333333333333030003000000000000000000000000000000000,1,30,NA,NA,NA,NA,NA,NA,1478270886,20,NA,1,0,NA,NA,1543,1,0,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0412,0,NA,0,0,NA
2131,Jenny,Female,Yes,8,2009-11-28,Labrador Retriever,Samoyed,herding,NA,jenny-portrait-small.png,1543,1531839090,1333333333333033333333000000000000000000000000000000,1,18,NA,NA,NA,NA,NA,NA,1472443200,0,NA,1,0,"Tiny, fierce, adorable. Wickedly smart. Not a fan of strangers but very social once she knows you.",NA,1543,1,2,NA,0,0,0,0,1,52,74,NA,NA,1,NA,NA,NA,1544275015,6.06593,0,NA,0,0,2009-11-28
6548,Emma,Female,Yes,2012-01-01,2012-01-01,NA,NA,NA,no,EmmaHappy.jpg,4627,1531836837,3333333333333033333333300000000000000000000000000000,1,18,NA,Affectionate 5 year old Chocolate Lab,She loves to roll onto her head until she flips over waiting for a belly rub.,Emma is the best at snuggling up into a tight ball so she can sleep on my lap (she is not a small dog at all!),"Emma loves to hunt for birds, frogs and turtles. One day I was out with her at her favorite swimming spot. She ran right into the bushes and came back out to me with a bird in her mouth! She was so proud of herself as she pranced around with her prize. This was her first bird!",yes,1478271962,NA,NA,1,0,NA,NA,4627,1,2,NA,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,1540911109,4.4478,1,NA,0,0,NA
9616,Tod,Male,Yes,10 yr,2005-12-30,Papillon,NA,NA,yes,9616.png,7042,1532356825,33333333333330333333333000000000000000000000,1,26,1637684897,NA,NA,NA,NA,NA,1482942416,79,NA,1,0,"A very proud papillon and legs-crossed lap-seeker. Tod can jump to very high ledges, a skill we suspect he learned from our cats.",NA,7042,1,2,NA,0,0,0,0,1,NA,NA,NA,"Purebred Papillon, parents registered with AKC",1,NA,NA,NA,1540829549,10.7582,1,NA,0,0,2005-12-30
9621,Rosie,Female,Yes,8,2007-12-30,Papillon,NA,NA,yes,9621.png,7042,1532356825,33333333333330333333333000000000000000000000,1,26,1579714268,NA,NA,NA,NA,NA,1482942495,79,NA,1,0,A very sweet and attention-seeking (perhaps mixed) papillon girl. Her ears were so big as a pup that she could barely hold them up.,NA,7042,1,2,NA,0,0,0,0,1,NA,NA,NA,"Not confidently purebred, parents were not registered with AKC but rather some other dog club.",1,NA,NA,NA,1540829603,9.00549,1,NA,0,0,2007-12-30
9881,Ramekin,male,yes,5 Months,2016-05-09,NA,NA,NA,NA,9881,7124,1475026181,3333333333333033333333000000000000000000000000000000,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,7124,1,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93407,0,NA,0,0,2016-05-09
12129,Dashiell,Male,No,6months,2016-08-01,English Shepherd,NA,NA,yes,dashportrait-compressed.jpg,1543,1531839090,333333333333303333330300000000000000000000,1,22,NA,NA,NA,NA,NA,NA,1488311354,17,NA,1,0,NA,NA,1543,1,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21703,0,NA,0,0,2016-08-01
27373,Benny,Male,Yes,4,2016-05-29,NA,NA,NA,yes,Bryant.png,4627,1595880156,0000000000000000000000,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Benny was born to race in Florida. He was very successful, and only recently stopped racing in March 2020. He gets very excited when in a new environment or when meeting new people, trying to nibble on them. He has a cropped tail due to &#34;Happy Tail&#34; injuries.",NA,4627,1,0,2020-07-27T20:02:08Z,0,0,0,0,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
30585,Shadow,Male,Yes,NA,NA,NA,NA,NA,no,.png,25853,1637089651,0000000000000000000000,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Shadow is a pretty energetic and sweet dog.  He&#39;s also super smart!,NA,25853,1,0,2021-11-16T19:07:09Z,0,0,1,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
31412,Elsa,Female,Yes,1,NA,NA,NA,NA,no,Screen-Shot-2022-04-10-at-9.28.39-AM.png,26929,1649592293,0000000000000000000000,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,26929,1,0,2022-04-10T12:03:29Z,0,0,0,0,0,81,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA
31413,Hulk,Male,Yes,0.83,2021-06-04,NA,NA,NA,yes,Screen-Shot-2022-04-10-at-9.28.45-AM.png,26929,1649592293,0000000000000000000000,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,26929,1,0,2022-04-10T12:04:38Z,0,0,0,0,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA
