"id","style","options"
"1","Likert","Strongly Agree|Agree|Neither Agree Nor Disagree|Disagree|Strongly Disagree"
"2","Likert","Never|Rarely|Sometimes|Often|Always"
"3","Text",
"4","Numeric",
"5","MultiNumeric","In a kennel or crate|In the house (not kenneled or crated)|In a fenced yard|On a long line or chain in a yard|Allowed to freely leave the property|In a closed room or large kennel run|Alone (may overlap with any of the above categories)"
"6","MultiNumeric","On walks in HIS own neighborhood|In other locations (with you on errands, etc.)|In parks / dog parks|Exercising (may overlap with some of the above categories)"
"7","Choices","Family member's room|DOG has HIS own room|Indoor crate / kennel|Garage|Outside|Other"
"8","Choices","Breeder|Shelter|Rescue|Other"
"9","MultiChoices","Basic obedience|Intermediate / advanced obedience|Agility|Scent work (detection, tracking, trailing)|Schutzhund|Other"
"10","Choices","Ankle high or shorter|Calf high|Knee high|Thigh high|Hip high or higher"
"11","MultiChoices","White|Red (from pale peach to dark red or liver colored)|Yellow (from pale cream to orange, gold, fawn, or wheaten)|Gray (slate, blue gray, charchoal, or silver)|Chocolate brown|Pure black|Merle|Brindle"
"12","Choices","One|Two|Three|Four|Five|Six"
"13","Choices","No|Yes|I don't know"
"14","Choices","Short|Medium|Long|I'm not sure"
"15","Choices","Soft|Rough (wiry)|I'm not sure"
"16","Image",
"17","Choices","None|Less than 30 min|30 min - 1 hr|1 - 2 hr|2 - 3 hr|3 - 5 hr|5+ hr"
"18","Sport",
"19","Choices","0 - 1|1 - 2|3 - 4|4+"
"20","Choices","Rarely|Once a month|Once a week|Once a day or more"
"21","Choices","None|Less than 1 hr|1 - 5 hrs|5 - 10 hrs|10 - 15 hrs|15+ hrs"
"22","Choices","0%|1-5%|5-25%|25-50%|50-75%|75-100%"
"23","Choices","Never|Rarely|Only in the spring/summer|Only in the fall/winter|Often, through all four seasons|Always, through all four seasons"
"24","MultiChoices","Shares bed with family member|Family member's room (not sharing bed)|DOG has HIS own room|Indoor crate / kennel|Garage|Outside|Other"
"25","Likert","Not at all true|Somewhat true|Mainly true|Definitely true"
"26","Choices","Young puppy (under 16 weeks)|Older puppy (between 4 and 11 months)|Young adult (between 1 and 2 years)|Adult (Over 2 years)"
"27","Weight","kg|lb"
"28","Colors","#17181D ""black""|#442825 ""liver or brown""|#F3F3F3 ""white""|#7E341B ""red""|#EBB56B ""yellow""|#746F76 ""grey or blue""|#947D80 ""light brown""|#E2B4B4 ""pink""|#C06530 ""tan""|#F3DFC8 ""cream"""
"29","MultiChoicesWithoutNone","A. striping (ie. “brindle”)|B. large patching (ie. “piebald”)|C. splotching (ie. “merle”, “harlequin”)|D. spotting (large spots spread out)|E. roaning (medium spots packed close together)|F. ticking (small spots spread out)|G. None"
"30","Choices","A|B|C|D|E|F"
"31","Choices","A|B|C"
"32","Choices","A|B|C"
"33","MultiChoicesTooltip","Large or long jowls (flaps of skin on the face)|Wrinkles or skin folds on face or body|Freckles|Completely white head and ears|Random patches of white appearing over time (also known as vitiligo)!#!http://www.doggenetics.co.uk/oddities.html#vitiligo|Ridged back (hair along spine that looks tufted or raised)|Naturally hairless or bald (most of HIS body has no hair at all)!#!http://www.doggenetics.co.uk/coats.html#hairless|Underbite or lower teeth farther out than upper teeth|Blue or black tongue coloration, including spots on tongue"
"34","Colors","#E0B080 ""amber""|#17181D ""black""|#442825 ""brown""|#859DCA ""blue""|#A6C29F ""green"""
"35","Colors","#17181D ""black""|#442825 ""liver or brown""|#746F76 ""grey or blue""|#E2B4B4 ""pink"""
