"id","string","format","image","position","survey","tags"
"1","DOG enjoys life","1",NULL,NULL,"1","CHQLS"
"2","DOG wants to play","1",NULL,NULL,"1","CHQLS"
"3","DOG becomes aggressive when excited","1",NULL,NULL,"1","DIAS"
"4","DOG enjoys playing with toys","1",NULL,NULL,"1","DPQ"
"5","DOG gets bored in play quickly","1",NULL,NULL,"1","DPQ"
"6","DOG seeks constant activity","1",NULL,NULL,"1","DPQ"
"7","Excitement can lead DOG to fixed repetitive behavior","1",NULL,NULL,"1","DIAS"
"8","DOG calms down very quickly after being excited","1",NULL,NULL,"1","DIAS"
"9","DOG may become aggressive if HE is frustrated with something","1",NULL,NULL,"1","DIAS"
"10","DOG is not very patient","1",NULL,NULL,"1","DIAS"
"11","DOG is relaxed when greeting people","1",NULL,NULL,"2","DPQ"
"12","DOG is shy","1",NULL,NULL,"2","DPQ"
"13","DOG is boisterous","1",NULL,NULL,"2","DPQ"
"14","DOG does not think before HE acts","1",NULL,NULL,"2","DIAS"
"15","DOG appears to be sorry after HE has done something wrong","1",NULL,NULL,"2","DIAS"
"16","DOG aggressively guards coveted items (e.g., stolen item, treats, food bowl)","1",NULL,NULL,"2","DPQ"
"17","DOG howls","2",NULL,NULL,"2",
"18","DOG Woo-woo barks","2",NULL,NULL,"2",
"19","DOG whines when alone","2",NULL,NULL,"2",
"20","DOG whines to get attention, food, or toys","2",NULL,NULL,"2",
"21","DOG is able to focus on a task in a distracting situation (e.g., loud or busy places, around other dogs)","1",NULL,NULL,"3","DPQ"
"22","DOG is playful with other dogs","1",NULL,NULL,"3","DPQ"
"23","When off leash, DOG comes immediately when called","1",NULL,NULL,"3","DPQ"
"24","DOG likes to chase squirrels, birds, or other small animals","1",NULL,NULL,"3","DPQ"
"25","DOG moves normally","1",NULL,NULL,"3","CHQLS"
"26","DOG is as active as HE has been","1",NULL,NULL,"3","CHQLS"
"27","DOG shows extreme physical signs when excited","1",NULL,NULL,"3","DIAS"
"28","DOG eats grass","2",NULL,NULL,"3",
"29","DOG buries toys / bones","2",NULL,NULL,"3",
"30","DOG eats non-food items","2",NULL,NULL,"3",
"31","DOG ignores commands","1",NULL,NULL,"4","DPQ"
"32","DOG is quick to sneak out through open doors, gates","1",NULL,NULL,"4","DPQ"
"33","DOG sleeps more, is less awake","1",NULL,NULL,"4","CHQLS"
"34","DOG is slow to respond to corrections","1",NULL,NULL,"4","DPQ"
"35","DOG escapes from cages, kennels, or enclosures","2",NULL,NULL,"4",
"36","DOG gets stuck behind objects and is unable to get around","2",NULL,NULL,"4","CCDR"
"37","DOG walks away or avoids being patted","2",NULL,NULL,"4","CCDR"
"38","DOG shows barrier aggression","2",NULL,NULL,"4",
"39","DOG lays in one place all day long","2",NULL,NULL,"4","CHQLS"
"40","DOG damages doors, gates, or walls","2",NULL,NULL,"4",
"41","DOG doesn't like to be approached or hugged","1",NULL,NULL,"5","DIAS"
"42","DOG is friendly towards unfamiliar people","1",NULL,NULL,"5","DPQ"
"43","DOG responds to my presence","1",NULL,NULL,"5","CHQLS"
"44","DOG behaves aggressively in response to perceived threats from people (e.g., being cornered, having collar reached for)","1",NULL,NULL,"5","DPQ"
"45","DOG is a people person","1",NULL,NULL,"5",
"46","DOG behaves fearfully towards unfamiliar people","1",NULL,NULL,"5","DPQ"
"47","DOG seems to get excited for no reason","1",NULL,NULL,"5","DIAS"
"48","DOG behaves aggressively towards unfamiliar people","1",NULL,NULL,"5","DPQ"
"49","DOG seeks companionship from people","1",NULL,NULL,"5","DPQ"
"50","DOG must greet everyone who comes to the door","1",NULL,NULL,"5",
"51","DOG chases bicycles, joggers, and skateboarders","1",NULL,NULL,"6","DPQ"
"52","DOG works at tasks (e.g., getting treats out of a Kong, shredding toys) until entirely finished","1",NULL,NULL,"6","DPQ"
"53","DOG leaves food or objects alone when told to do so","1",NULL,NULL,"6","DPQ"
"54","DOG retrieves objects (e.g., balls, toys, sticks)","1",NULL,NULL,"6","DPQ"
"55","DOG appears to have a lot of control over how HE responds","1",NULL,NULL,"6","DIAS"
"56","DOG reacts very quickly","1",NULL,NULL,"6","DIAS"
"57","DOG is easy to train","1",NULL,NULL,"6","DIAS"
"58","DOG can be very persistent","1",NULL,NULL,"6","DIAS"
"59","DOG points","1",NULL,NULL,"6",
"60","DOG avoids getting wet","1",NULL,NULL,"6",
"61","DOG has difficulty finding food dropped on the floor","2",NULL,NULL,"7","CCDR"
"62","DOG licks HIS empty bowl after finishing the food","2",NULL,NULL,"7",
"63","DOG licks tile / linoleum floors","2",NULL,NULL,"7",
"64","DOG turns in circles before pooping","2",NULL,NULL,"7",
"65","DOG kicks or scratches the ground after defecating","2",NULL,NULL,"7",
"66","DOG lifts HIS leg to urinate","2",NULL,NULL,"7",
"67","DOG marks with feces","2",NULL,NULL,"7",
"68","DOG eats HIS own feces","2",NULL,NULL,"7",
"69","DOG shows submissive urination","2",NULL,NULL,"7",
"70","DOG drinks water quickly","2",NULL,NULL,"7",
"71","DOG behaves aggressively toward other dogs","1",NULL,NULL,"8","DPQ"
"72","DOG willingly shares HIS toys with other dogs","1",NULL,NULL,"8","DPQ"
"73","DOG is dominant over other dogs","1",NULL,NULL,"8","DPQ"
"74","DOG avoids other dogs","1",NULL,NULL,"8","DPQ"
"75","DOG is friendly towards other dogs","1",NULL,NULL,"8","DPQ"
"76","DOG knows HE is a dog","1",NULL,NULL,"8",
"77","DOG behaves fearfully towards other dogs","1",NULL,NULL,"8","DPQ"
"78","DOG behaves aggressively towards cats","1",NULL,NULL,"8","DPQ"
"79","DOG is assertive or pushy with other dogs (e.g., if in a home with other dogs, when greeting)","1",NULL,NULL,"8","DPQ"
"80","DOG sometimes fails to recognize familiar people or pets","1",NULL,NULL,"8","CCDR"
"81","DOG is very interested in and adapts easily to new things and new places","1",NULL,NULL,"9","DIAS DPQ"
"82","DOG exhibits fearful behaviors when HE is restrained","1",NULL,NULL,"9","DPQ"
"83","DOG behaves fearfully when groomed (e.g., nails trimmed, brushed, bathed, ears cleaned)","1",NULL,NULL,"9","DPQ"
"84","DOG is not keen to go into new situations","1",NULL,NULL,"9","DIAS"
"85","DOG behaves aggressively during visits to the veterinarian","1",NULL,NULL,"9","DPQ"
"86","DOG is highly sensitive to noise","1",NULL,NULL,"9",
"87","DOG shows aggression when nervous or fearful","1",NULL,NULL,"9","DPQ"
"88","DOG behaves fearfully during visits to the veterinarian","1",NULL,NULL,"9","DPQ"
