id,time,type,barcode,dog,description,location1,container,positionX,positionY,parent,project,issue,notes,animal,submitter,user_barcode
407,1478270886,1,31001602031870,2130,NA,2,NA,20,NA,NA,1,0,NA,NA,NA,NA
2024,1482942416,1,31001609032868,9616,NA,2,NA,79,NA,NA,1,0,NA,NA,NA,NA
2025,1482942495,1,31001609032811,9621,NA,2,NA,79,NA,NA,1,0,NA,NA,NA,NA
2942,1488311354,1,31001602110587,12129,NA,2,NA,17,NA,NA,1,0,NA,NA,NA,NA
3185,1472443200,1,31001602031638,2131,NA,8,NA,NA,NA,NA,1,0,NA,NA,NA,NA
3672,1478271962,1,31001602032003,6548,NA,9,NA,NA,NA,NA,1,0,NA,NA,NA,NA
4602,1501163435,1,31001602031870,2130,NA,11,NA,NA,NA,NA,1,0,NA,NA,NA,NA
5004,1501163435,1,31001602110587,12129,NA,11,NA,NA,NA,NA,1,0,NA,NA,NA,NA
6766,1515184812,1,31001602032003,6548,NA,2,NA,26,NA,NA,1,0,NA,NA,NA,NA
7869,1516251600,1,31001701031285,12129,NA,13,NA,NA,NA,NA,NA,0,2X,NA,NA,NA
7870,1517461200,1,31001701031285,12129,NA,6,NA,NA,NA,NA,NA,0,Gencove 2X,NA,NA,NA
7871,1516251600,1,31001701033408,2131,NA,13,NA,NA,NA,NA,NA,0,2X,NA,NA,NA
7872,1517461200,1,31001701033408,2131,NA,6,NA,NA,NA,NA,NA,0,Gencove 2X,NA,NA,NA
7879,1516251600,1,31001602032003,6548,NA,13,NA,NA,NA,NA,NA,0,2X,NA,NA,NA
7880,1517461200,1,31001602032003,6548,NA,6,NA,NA,NA,NA,NA,0,Gencove 2X,NA,NA,NA
7881,1516251600,1,31001609032811,9621,NA,13,NA,NA,NA,NA,NA,0,2X,NA,NA,NA
7882,1517461200,1,31001609032811,9621,NA,6,NA,NA,NA,NA,NA,0,Gencove 2X,NA,NA,NA
7883,1516251600,1,31001609032868,9616,NA,13,NA,NA,NA,NA,NA,0,2X,NA,NA,NA
7884,1517461200,1,31001609032868,9616,NA,6,NA,NA,NA,NA,NA,0,Gencove 2X,NA,NA,NA
7895,1507262400,1,31001701031303,9881,NA,13,NA,NA,NA,NA,NA,0,<1X,NA,NA,NA
7896,1508472000,1,31001701031303,9881,NA,6,NA,NA,NA,NA,NA,0,Gencove <1X,NA,NA,NA
9332,1525996800,5,31001602031638,2131,NA,3,NA,NA,NA,NA,1,0,NA,NA,NA,NA
10711,1501459200,1,31001602031870,2130,NA,6,NA,NA,NA,NA,1,0,Run on Axiom array 7/2017,NA,NA,NA
10836,1501459200,1,31001602110587,12129,NA,6,NA,NA,NA,NA,1,0,Run on Axiom array 7/2017,NA,NA,NA
11210,1528478114,1,31001602031870,2130,NA,13,NA,NA,NA,NA,1,0,Axiom,NA,NA,NA
14685,1540828356,1,31001602031870,2130,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
14743,1540828367,1,31001602110587,12129,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
15175,1540828474,1,31001602032003,6548,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
15359,1540828510,1,31001609032811,9621,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
15363,1540828511,1,31001609032868,9616,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
15385,1540828516,1,31001701031285,12129,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
15466,1540828531,1,31001701033408,2131,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
16746,1553706575,5,31001701032438,9881,NA,1,NA,NA,NA,NA,1,0,Behavior Symposium 2017,NA,NA,NA
18312,1572023038,1,31001701032438,9881,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
19208,1597158796,1,31001712013146,27373,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA
19238,1528478114,1,482414,2130,NA,13,NA,NA,NA,NA,1,0,Gencove <1x,NA,NA,NA
19240,1598018966,1,482414,2130,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
19287,1600964662,1,31001712013146,27373,NA,16,NA,NA,NA,NA,1,0,NA,NA,NA,NA
19540,1607912206,1,31001712013146,27373,NA,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA
20907,1640023593,1,31001712013146,27373,NA,13,NA,NA,NA,NA,1,0,NA,NA,NA,NA
21095,1648150040,11,31019073907882,30585,NA,14,NA,NA,NA,NA,1,0,NA,NA,NA,NA
